"Idõszak";"Terület";"Halálos közúti közlekedési baleset (eset)";"Súlyos sérüléses közúti közlekedési baleset (eset)";"Könnyû sérüléses közúti közlekedési baleset (eset)";"Összes személyi sérüléssel járó közúti közlekedési baleset (eset)";"Lakott területen történt összes közúti közlekedési baleset (eset)";"Lakott területen kívül történt összes közúti közlekedési baleset (eset)";"Az ittasan okozott balesetek száma (eset)";"Jármûvek okozta összes baleset száma (eset)";"Motorkerékpár és segédmotoros kerékpár által okozott balesetek száma (eset)";"Személygépkocsi által okozott balesetek száma (eset)";"Tehergépkocsi által okozott balesetek száma (eset)";"Kerékpár által okozott balesetek száma (eset)";"Gyalogos okozta balesetek száma (eset)";"Autóbusz által okozott balesetek száma (eset)";"A jármûvezetõk által ittasan okozott balesetek száma (eset)";"Közúti közlekedési baleset során meghalt személy (fõ)";"Közúti közlekedési baleset során súlyosan sérült személy (fõ)";"Közúti közlekedési baleset során könnyen sérült személy (fõ)";"Közúti közlekedési baleset során meghalt, megsérült személy összesen (fõ)";"Közúti közlekedési baleset során meghalt  6 év alatti személy (fõ)";"Közúti közlekedési baleset során meghalt  6 - 14 éves személy (fõ)";"Közúti közlekedési baleset során meghalt 15 - 17 éves személy (fõ)";"Közúti közlekedési baleset során meghalt 18 - 20 éves személy (fõ)";"Közúti közlekedési baleset során meghalt 21 - 40 éves személy (fõ)";"Közúti közlekedési baleset során meghalt 41 - 64 éves személy (fõ)";"Közúti közlekedési baleset során meghalt 65 éves és idõsebb, és ismeretlen korú személy (fõ)";"Borvidékek, 2019";"Agglomeráción belüli települések besorolása, 2003";"Statisztikai nagyrégió";"Agglomeráció típusa, 2003";"Járások";"Agglomerációk, 2003";"Megyék - általános területi beosztás";"Települések jogállása - összevont verzió, 1994";"Kedvezményezett települések  kódjának nómenklatúrája";"Borrégiók, 2019";"Kedvezményezett járások kódjának nómenklatúrája";"Turisztikai régiók";"Települések";"Tervezési statisztikai régiók";"Világörökségi helyszín védõövezete";"Szabad vállalkozási zónák";"Az EU NUTS rendszere 2016";"Területfejlesztési szempontból kiemelt térségek";"Települések megyeszékhely jellege, 1991";"Járási székhely";"Települések lakónépesség-nagyságkategóriái";"Települések jogállása - bõvített verzió, 2005";"Nemzeti parkok";
"";"Tószeg";" ";"3";"6";"9";"5";"4";"1";"7";"2";"4";" ";"1";"1";" ";"1,0";" ";"3";"9";"12";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"3 - Egyéb település";"3 - Alföld és Észak";"3 - Nagyvárosi településegyüttes";"167 - Szolnoki járás";"311 - Szolnoki nagyvárosi településegyüttes";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"9 - Nem tartozik kedvezményezett járáshoz";"03 - Észak-Alföldi Régió";"0749 - Tószeg";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"04 - 2000 - 4999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Újszász";" ";"2";"6";"8";"1";"7";"1";"8";" ";"7";" ";"1";" ";" ";"1,0";" ";"2";"9";"11";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"167 - Szolnoki járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"3 - Város";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"9 - Nem tartozik kedvezményezett járáshoz";"03 - Észak-Alföldi Régió";"1529 - Újszász";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"05 - 5000 - 9999";"30 - Város";"99 - Nem tartozik nemzeti parkhoz";
"";"Vezseny";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"3 - Egyéb település";"3 - Alföld és Észak";"3 - Nagyvárosi településegyüttes";"167 - Szolnoki járás";"311 - Szolnoki nagyvárosi településegyüttes";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"9 - Nem tartozik kedvezményezett járáshoz";"03 - Észak-Alföldi Régió";"2115 - Vezseny";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"02 - 500 - 999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Zagyvarékas";" ";"2";"3";"5";"2";"3";"2";"5";"1";"4";" ";" ";" ";" ";"2,0";" ";"4";"3";"7";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"3 - Egyéb település";"3 - Alföld és Észak";"3 - Nagyvárosi településegyüttes";"167 - Szolnoki járás";"311 - Szolnoki nagyvárosi településegyüttes";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"9 - Nem tartozik kedvezményezett járáshoz";"03 - Észak-Alföldi Régió";"1483 - Zagyvarékas";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"9 - Nem szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"04 - 2000 - 4999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Tiszafüredi járás";" ";"8";"20";"28";"13";"15";"3";"28";"1";"19";"1";"7";" ";" ";"3,0";" ";"9";"32";"41";" ";" ";" ";" ";" ";" ";" ";
"";"Nagyiván";" ";" ";"1";"1";"1";" ";" ";"1";" ";"1";" ";" ";" ";" ";" ";" ";" ";"1";"1";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"168 - Tiszafüredi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"1 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett telepü...";"9 - Nem tartozik borrégióhoz";"1 - Kedvezményezett járások";"04 - Tisza-tavi Régió";"2168 - Nagyiván";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"03 - 1000 - 1999";"42 - Község";"07 - Hortobágyi Nemzeti Park";
"";"Tiszaderzs";" ";"1";" ";"1";" ";"1";" ";"1";" ";"1";" ";" ";" ";" ";" ";" ";"1";"2";"3";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"168 - Tiszafüredi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"1 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett telepü...";"9 - Nem tartozik borrégióhoz";"1 - Kedvezményezett járások";"04 - Tisza-tavi Régió";"1623 - Tiszaderzs";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"03 - 1000 - 1999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Tiszafüred";" ";"3";"13";"16";"7";"9";"2";"16";" ";"12";"1";"3";" ";" ";"2,0";" ";"3";"21";"24";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"168 - Tiszafüredi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"3 - Város";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"1 - Kedvezményezett járások";"04 - Tisza-tavi Régió";"2972 - Tiszafüred";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"1 - Székhelytelepülés";"06 - 10000 - 19999";"30 - Város";"07 - Hortobágyi Nemzeti Park";
"";"Tiszaigar";" ";" ";"4";"4";"2";"2";" ";"4";"1";"2";" ";"1";" ";" ";" ";" ";" ";"5";"5";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"168 - Tiszafüredi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"1 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett telepü...";"9 - Nem tartozik borrégióhoz";"1 - Kedvezményezett járások";"04 - Tisza-tavi Régió";"2869 - Tiszaigar";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"02 - 500 - 999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Tiszaörs";" ";"1";" ";"1";"1";" ";" ";"1";" ";" ";" ";"1";" ";" ";" ";" ";"1";" ";"1";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"168 - Tiszafüredi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"1 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett telepü...";"9 - Nem tartozik borrégióhoz";"1 - Kedvezményezett járások";"04 - Tisza-tavi Régió";"1578 - Tiszaörs";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"03 - 1000 - 1999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Tiszaszentimre";" ";"2";"1";"3";"2";"1";"1";"3";" ";"1";" ";"2";" ";" ";"1,0";" ";"2";"1";"3";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"168 - Tiszafüredi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"1 - Kedvezményezett járások";"04 - Tisza-tavi Régió";"2278 - Tiszaszentimre";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"04 - 2000 - 4999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Tiszaszõlõs";" ";"1";"1";"2";" ";"2";" ";"2";" ";"2";" ";" ";" ";" ";" ";" ";"2";"2";"4";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"168 - Tiszafüredi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"1 - Kedvezményezett járások";"04 - Tisza-tavi Régió";"0785 - Tiszaszõlõs";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"03 - 1000 - 1999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Törökszentmiklósi járás";"5";"17";"38";"60";"40";"20";"3";"60";"1";"43";"4";"9";" ";"1,0";"3,0";"11";"21";"66";"98";" ";" ";" ";" ";" ";" ";" ";
"";"Fegyvernek";"1";"4";"7";"12";"6";"6";"1";"12";"1";"9";" ";"2";" ";" ";"1,0";"6";"5";"10";"21";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"169 - Törökszentmiklósi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"3 - Város";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"2 - Fejlesztendõ járások";"04 - Tisza-tavi Régió";"1664 - Fegyvernek";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"05 - 5000 - 9999";"30 - Város";"99 - Nem tartozik nemzeti parkhoz";
"";"Kengyel";" ";" ";"3";"3";"2";"1";" ";"3";" ";"2";"1";" ";" ";" ";" ";" ";" ";"3";"3";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"169 - Törökszentmiklósi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"2 - Fejlesztendõ járások";"03 - Észak-Alföldi Régió";"0741 - Kengyel";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"04 - 2000 - 4999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Kuncsorba";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"169 - Törökszentmiklósi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"1 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett telepü...";"9 - Nem tartozik borrégióhoz";"2 - Fejlesztendõ járások";"03 - Észak-Alföldi Régió";"0525 - Kuncsorba";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"02 - 500 - 999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Örményes";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"169 - Törökszentmiklósi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"2 - Fejlesztendõ járások";"03 - Észak-Alföldi Régió";"2938 - Örményes";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"02 - 500 - 999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Tiszapüspöki";"1";"1";"5";"7";" ";"7";"1";"7";" ";"6";"1";" ";" ";" ";"1,0";"1";"2";"9";"12";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"169 - Törökszentmiklósi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"1 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett telepü...";"9 - Nem tartozik borrégióhoz";"2 - Fejlesztendõ járások";"03 - Észak-Alföldi Régió";"0337 - Tiszapüspöki";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"03 - 1000 - 1999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Tiszatenyõ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"3 - Egyéb település";"3 - Alföld és Észak";"3 - Nagyvárosi településegyüttes";"169 - Törökszentmiklósi járás";"311 - Szolnoki nagyvárosi településegyüttes";"16 - Jász-Nagykun-Szolnok megye";"4 - Község";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"2 - Fejlesztendõ járások";"03 - Észak-Alföldi Régió";"0962 - Tiszatenyõ";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"0 - Nem székhelytelepülés";"03 - 1000 - 1999";"42 - Község";"99 - Nem tartozik nemzeti parkhoz";
"";"Törökszentmiklós";"3";"12";"23";"38";"32";"6";"1";"38";" ";"26";"2";"7";" ";"1,0";"1,0";"4";"14";"44";"62";" ";" ";" ";" ";" ";" ";" ";"9992 - A település nem tartozik borvidékbe - Alföld";"9 - Településegyüttesbe nem tartozó település";"3 - Alföld és Észak";"9 - Településegyüttesbe nem tartozó települések";"169 - Törökszentmiklósi járás";"999 - Településegyüttesbe nem tartozó települések";"16 - Jász-Nagykun-Szolnok megye";"3 - Város";"9 - Nem kedvezményezett település";"9 - Nem tartozik borrégióhoz";"2 - Fejlesztendõ járások";"03 - Észak-Alföldi Régió";"2731 - Törökszentmiklós";"60 - Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg)";"99 - Nem világörökségi helyszín védõövezete";"1 - Szabad vállakozási zóna";"HU322 - Jász-Nagykun-Szolnok";"9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez";"2 - Nem megyeszékhely";"1 - Székhelytelepülés";"07 - 20000 - 49999";"30 - Város";"99 - Nem tartozik nemzeti parkhoz";
